country,total_demand,total_shipped,total_unmet,fulfillment_pct
Afghanistan,91.0,89.0,2.0,97.8022
Albania,37.0,37.0,0.0,100.0
Algeria�,179.0,179.0,0.0,100.0
Angola,105.0,105.0,0.0,100.0
Argentina,756.0,753.0,3.0,99.6032
Australia,2543.0,2483.0,60.0,97.6406
Austria,405.0,401.0,4.0,99.0123
Azerbaijan,26.0,26.0,0.0,100.0
Bangladesh,178.0,170.0,8.0,95.5056
Barbados,48.0,48.0,0.0,100.0
Belarus,62.0,61.0,1.0,98.3871
Belgium,230.0,226.0,4.0,98.2609
Belize,1.0,1.0,0.0,100.0
Ben�n,28.0,27.0,1.0,96.4286
Bolivia,123.0,123.0,0.0,100.0
Bosnia and Herzegovina,10.0,10.0,0.0,100.0
Brazil,3117.0,2975.0,142.0,95.4443
Bulgaria,17.0,17.0,0.0,100.0
Cambodia,60.0,56.0,4.0,93.3333
Cameroon,115.0,115.0,0.0,100.0
Canada,418.0,412.0,6.0,98.5646
Chile,265.0,262.0,3.0,98.8679
China,1808.0,1761.0,47.0,97.4004
Colombia,601.0,600.0,1.0,99.8336
Costa Rica,13.0,13.0,0.0,100.0
Cote d�Ivoire,157.0,157.0,0.0,100.0
Croatia,40.0,40.0,0.0,100.0
Cuba,1328.0,1328.0,0.0,100.0
Czech Republic (Czechia),36.0,36.0,0.0,100.0
Democratic Republic of Congo,280.0,280.0,0.0,100.0
Denmark,117.0,117.0,0.0,100.0
Dominican�Republic,1181.0,1163.0,18.0,98.4759
Ecuador,146.0,145.0,1.0,99.3151
Egypt,343.0,342.0,1.0,99.7085
El Salvador,1264.0,1256.0,8.0,99.3671
Estonia,26.0,22.0,4.0,84.6154
Finland,105.0,91.0,14.0,86.6667
France,4973.0,4399.0,574.0,88.4577
French Guiana,5.0,5.0,0.0,100.0
Gabon,44.0,44.0,0.0,100.0
Gambia,13.0,13.0,0.0,100.0
Georgia,53.0,53.0,0.0,100.0
Germany,3365.0,3304.0,61.0,98.1872
Ghana,62.0,62.0,0.0,100.0
Guadalupe,22.0,22.0,0.0,100.0
Guatemala,1003.0,999.0,4.0,99.6012
Guinea,36.0,36.0,0.0,100.0
Guinea-Bissau,5.0,5.0,0.0,100.0
Guyana,8.0,8.0,0.0,100.0
Haiti,197.0,197.0,0.0,100.0
Honduras,1602.0,1593.0,9.0,99.4382
Hong Kong,26.0,24.0,2.0,92.3077
Hungary,69.0,69.0,0.0,100.0
India,1452.0,1412.0,40.0,97.2452
Indonesia,1374.0,1360.0,14.0,98.9811
Iran,643.0,638.0,5.0,99.2224
Iraq,407.0,401.0,6.0,98.5258
Ireland,191.0,188.0,3.0,98.4293
Israel�,124.0,124.0,0.0,100.0
Italy,1696.0,1681.0,15.0,99.1156
Jamaica,99.0,99.0,0.0,100.0
Japan,203.0,191.0,12.0,94.0887
Jordania,23.0,23.0,0.0,100.0
Kazakhstan,137.0,137.0,0.0,100.0
Kenya,146.0,146.0,0.0,100.0
Kyrgyzstan,21.0,21.0,0.0,100.0
Lesotho,6.0,6.0,0.0,100.0
Liban,21.0,21.0,0.0,100.0
Liberia,23.0,23.0,0.0,100.0
Libya,32.0,32.0,0.0,100.0
Lithuania,38.0,38.0,0.0,100.0
Macedonia,1.0,1.0,0.0,100.0
Madagascar,82.0,78.0,4.0,95.122
Malaysia,177.0,170.0,7.0,96.0452
Mali,21.0,18.0,3.0,85.7143
Martinique,19.0,19.0,0.0,100.0
Mauritania,6.0,6.0,0.0,100.0
Mexico,5293.0,5282.0,11.0,99.7922
Moldova,20.0,20.0,0.0,100.0
Mongolia,37.0,37.0,0.0,100.0
Montenegro,8.0,8.0,0.0,100.0
Morocco,462.0,462.0,0.0,100.0
Mozambique,41.0,41.0,0.0,100.0
Myanmar,153.0,151.0,2.0,98.6928
Namibia,9.0,9.0,0.0,100.0
Nepal,1.0,1.0,0.0,100.0
Netherlands,547.0,452.0,95.0,82.6325
New zealand,357.0,283.0,74.0,79.2717
Nicaragua,1234.0,1184.0,50.0,95.9481
Niger,7.0,6.0,1.0,85.7143
Nigeria,997.0,944.0,53.0,94.6841
Norway,114.0,111.0,3.0,97.3684
Oman,7.0,7.0,0.0,100.0
Pakistan,201.0,187.0,14.0,93.0348
Panama,921.0,886.0,35.0,96.1998
Papua New Guinea,26.0,25.0,1.0,96.1538
Paraguay,23.0,22.0,1.0,95.6522
Per�,261.0,250.0,11.0,95.7854
Philippines,663.0,639.0,24.0,96.3801
Poland,290.0,278.0,12.0,95.8621
Portugal,138.0,134.0,4.0,97.1014
Qatar,19.0,18.0,1.0,94.7368
Republic of Congo,20.0,18.0,2.0,90.0
Romania,214.0,208.0,6.0,97.1963
Russia,445.0,435.0,10.0,97.7528
Rwanda,10.0,10.0,0.0,100.0
Saudi Arabia,389.0,367.0,22.0,94.3445
Senegal,107.0,105.0,2.0,98.1308
Sierra Leona,7.0,6.0,1.0,85.7143
Singapore,214.0,201.0,13.0,93.9252
Slovakia,2.0,1.0,1.0,50.0
Somalia,28.0,27.0,1.0,96.4286
South Africa,566.0,536.0,30.0,94.6996
South Korea,181.0,164.0,17.0,90.6077
Spain,1282.0,1138.0,144.0,88.7676
Sri Lanka,2.0,1.0,1.0,50.0
Sudan,114.0,101.0,13.0,88.5965
Sweden,329.0,299.0,30.0,90.8815
Switzerland,119.0,113.0,6.0,94.958
Syria,38.0,36.0,2.0,94.7368
Taiwan,10.0,9.0,1.0,90.0
Tanzania,97.0,90.0,7.0,92.7835
Thailand,384.0,363.0,21.0,94.5312
Togo,81.0,76.0,5.0,93.8272
Trinidad and Tobago,77.0,77.0,0.0,100.0
Tunisia,13.0,13.0,0.0,100.0
Turkey,1246.0,1239.0,7.0,99.4382
UAE,18.0,18.0,0.0,100.0
USA,9734.0,9701.0,33.0,99.661
Uganda,10.0,10.0,0.0,100.0
Ukraine,374.0,374.0,0.0,100.0
United Kingdom,2656.0,2633.0,23.0,99.134
Uruguay,54.0,54.0,0.0,100.0
Uzbekistan,87.0,87.0,0.0,100.0
Venezuela,481.0,478.0,3.0,99.3763
Vietnam,257.0,255.0,2.0,99.2218
Yemen,31.0,31.0,0.0,100.0
Zambia,152.0,152.0,0.0,100.0
Zimbabwe,25.0,25.0,0.0,100.0
